mls_id,property_type,address,street,neighbourhood,city,price,baths,beds,dens,latitude,longitude,date_scraped,url
C7335984,condo_apartment,50 Ordnance St 1203,Ordnance St,Niagara,Toronto,569000,1,1,0,43.639732,-79.409639677,2024-01-30,https://toronto.listing.ca/50-ordnance-st-1203.C7335984.htm#42-1n7
C7335926,condo_apartment,352 Front St 1821,Front St,Waterfront Communities C1,Toronto,609000,1,1,0,43.6438897,-79.3921862,2024-01-30,https://toronto.listing.ca/352-front-st-1821.C7335926.htm#42-1n8
C7335864,condo_apartment,55 Ann O'reilly Rd 3508,Ann O'reilly Rd,Henry Farm,Toronto,749000,2,2,0,43.773699,-79.3296,2024-01-30,https://toronto.listing.ca/55-ann-oreilly-rd-3508.C7335864.htm#42-1n9
C7335748,condo_apartment,117 Mcmahon Dr 3306,Mcmahon Dr,Bayview Village,Toronto,659900,1,1,1,43.76701795,-79.37029934,2024-01-30,https://toronto.listing.ca/117-mcmahon-dr-3306.C7335748.htm#42-1na
C7335528,condo_apartment,98 Lillian St 1916,Lillian St,Mount Pleasant East,Toronto,718000,1,1,1,43.707339,-79.394278,2024-01-30,https://toronto.listing.ca/98-lillian-st-1916.C7335528.htm#42-1nb
C7335386,condo_apartment,29 Singer Crt 3107,Singer Crt,Bayview Village,Toronto,599000,1,1,1,43.76922285,-79.368701507,2024-01-30,https://toronto.listing.ca/29-singer-crt-3107.C7335386.htm#42-1nc
C7335374,condo_apartment,100 Harrison Garden Blvd 1822,Harrison Garden Blvd,Willowdale East,Toronto,999900,2,2,1,43.7569574,-79.4043424,2024-01-30,https://toronto.listing.ca/100-harrison-garden-blvd-1822.C7335374.htm#42-1nd
C7335246,condo_apartment,81 Front St 407,Front St,Waterfront Communities C8,Toronto,999999,2,1,1,43.6487095,-79.3727108,2024-01-30,https://toronto.listing.ca/81-front-st-407.C7335246.htm#42-1ne
C7335116,condo_apartment,89 Mcgill St 1310,Mcgill St,Church-Yonge Corridor,Toronto,629900,1,1,0,43.6606121,-79.3785633,2024-01-30,https://toronto.listing.ca/89-mcgill-st-1310.C7335116.htm#42-1nf
C7335012,condo_apartment,50 Charles St 2205,Charles St,Church-Yonge Corridor,Toronto,948000,1,2,0,43.669342,-79.383647,2024-01-30,https://toronto.listing.ca/50-charles-st-2205.C7335012.htm#42-1ng
C7334700,condo_apartment,100 Harbour St 1202,Harbour St,Waterfront Communities C1,Toronto,799000,2,2,0,43.6417792,-79.3787574,2024-01-30,https://toronto.listing.ca/100-harbour-st-1202.C7334700.htm#42-1nh
C7334662,condo_apartment,662 Sheppard Ave 203C,Sheppard Ave,Bayview Village,Toronto,1062000,2,2,0,43.7692759,-79.381888086,2024-01-30,https://toronto.listing.ca/662-sheppard-ave-203c.C7334662.htm#42-1ni
C7334656,condo_apartment,15 Northtown Way 426,Northtown Way,Willowdale East,Toronto,850000,2,2,0,43.7750125,-79.413031269,2024-01-30,https://toronto.listing.ca/15-northtown-way-426.C7334656.htm#42-1nj
